latitude,longitude,corridor,soil_moisture,water_pressure,acceleration,tilt_angle,temperature,humidity,rainfall,antecedent_rainfall_7d,slope_angle_deg,factor_of_safety,landslide_triggered
27.355,88.5833,"Gangtok, Sikkim",29.82,0.0,9.827,0.017,21.0,47.0,2.61,11.43,38.59,1.638,0
27.3524,88.5766,"Gangtok, Sikkim",59.0,23.65,11.658,6.957,11.7,85.6,43.33,137.73,35.92,1.035,1
27.3014,88.6397,"Gangtok, Sikkim",43.1,6.43,9.752,0.169,25.6,58.2,1.99,36.14,39.22,1.435,0
27.3363,88.5962,"Gangtok, Sikkim",29.23,0.0,9.849,0.031,15.8,55.2,3.76,21.22,42.9,1.522,0
27.3818,88.6275,"Gangtok, Sikkim",59.0,16.42,11.199,1.809,16.5,75.8,276.63,750.0,35.52,1.261,1
27.3566,88.5759,"Gangtok, Sikkim",36.92,0.86,9.747,0.077,20.8,60.5,11.3,39.94,35.52,1.721,0
27.3098,88.6048,"Gangtok, Sikkim",39.18,2.95,9.784,0.028,17.3,52.3,2.01,59.11,43.13,1.434,0
27.3541,88.596,"Gangtok, Sikkim",59.0,23.58,11.604,2.394,16.4,64.1,157.7,469.43,39.72,0.964,1
27.2953,88.6248,"Gangtok, Sikkim",59.0,22.76,10.252,4.34,12.9,69.5,18.46,155.85,34.53,1.105,1
27.3663,88.6509,"Gangtok, Sikkim",36.11,0.29,9.856,0.066,18.4,53.3,3.25,84.99,38.78,1.624,0
27.3298,88.5823,"Gangtok, Sikkim",29.22,0.0,9.791,0.018,15.9,48.6,4.09,39.38,34.55,1.786,0
27.3815,88.628,"Gangtok, Sikkim",55.81,17.52,11.283,3.172,25.9,69.5,33.37,108.44,34.54,1.262,1
27.2953,88.6145,"Gangtok, Sikkim",43.89,7.46,9.809,0.066,17.2,49.5,20.96,73.96,37.52,1.457,0
27.2918,88.5792,"Gangtok, Sikkim",34.69,0.0,9.803,0.073,10.0,50.7,14.36,49.24,28.46,2.111,0
27.296,88.577,"Gangtok, Sikkim",29.91,0.0,9.827,0.002,21.6,50.7,1.03,48.02,29.26,2.06,0
27.3379,88.5864,"Gangtok, Sikkim",39.84,2.87,9.819,0.071,14.2,57.4,6.5,44.0,34.14,1.718,0
27.2977,88.6047,"Gangtok, Sikkim",42.19,6.45,9.818,0.168,18.4,58.6,9.83,103.92,32.25,1.693,0
27.3597,88.5618,"Gangtok, Sikkim",45.66,7.09,9.87,0.012,23.3,61.0,2.49,27.38,37.82,1.458,0
27.3771,88.6218,"Gangtok, Sikkim",36.57,0.7,9.817,0.044,16.8,56.4,7.14,40.51,32.69,1.849,0
27.3408,88.5961,"Gangtok, Sikkim",34.51,0.0,9.78,0.072,17.2,48.1,11.03,47.1,30.57,1.982,0
27.3282,88.5901,"Gangtok, Sikkim",38.72,2.53,9.785,0.016,21.5,56.4,4.76,25.51,42.66,1.457,0
27.3005,88.5644,"Gangtok, Sikkim",59.0,16.6,11.362,8.541,23.4,72.7,194.39,654.93,35.55,1.254,1
27.3198,88.6232,"Gangtok, Sikkim",59.0,17.85,11.085,1.607,17.5,67.7,180.87,402.09,36.78,1.178,1
27.3177,88.6377,"Gangtok, Sikkim",59.0,20.5,9.763,0.101,25.7,74.1,114.7,298.17,30.52,1.329,0
27.3269,88.6196,"Gangtok, Sikkim",43.87,5.86,9.762,0.018,11.4,50.4,21.89,60.63,34.21,1.624,0
27.3321,88.6063,"Gangtok, Sikkim",59.0,19.33,9.811,0.098,14.6,71.1,107.72,301.72,36.97,1.13,0
27.3139,88.6079,"Gangtok, Sikkim",59.0,18.61,11.215,7.209,16.2,77.2,286.56,750.0,31.67,1.339,1
27.3,88.5952,"Gangtok, Sikkim",43.08,7.03,9.79,0.019,22.0,64.1,1.99,22.18,38.08,1.452,0
27.3337,88.6269,"Gangtok, Sikkim",39.36,2.63,9.76,0.011,18.9,58.5,1.04,11.3,33.98,1.732,0
27.3289,88.623,"Gangtok, Sikkim",38.76,2.76,9.776,0.144,15.4,59.3,12.32,60.48,35.27,1.674,0
27.3064,88.559,"Gangtok, Sikkim",59.0,19.2,11.372,2.76,13.7,78.9,182.53,593.51,33.97,1.232,1
27.3395,88.6039,"Gangtok, Sikkim",42.74,6.19,9.825,0.12,12.3,62.0,28.62,64.91,44.28,1.32,0
27.3559,88.5879,"Gangtok, Sikkim",32.35,0.0,9.84,0.01,20.0,59.6,5.42,19.87,36.44,1.711,0
27.2919,88.6289,"Gangtok, Sikkim",46.85,9.9,9.845,0.087,16.5,52.1,4.06,114.31,32.06,1.594,0
27.3831,88.5959,"Gangtok, Sikkim",28.31,0.0,9.791,0.007,21.8,54.0,8.34,27.67,39.95,1.597,0
27.35,88.611,"Gangtok, Sikkim",48.01,8.78,9.799,0.001,12.5,52.8,7.3,51.59,31.37,1.661,0
27.3455,88.6432,"Gangtok, Sikkim",59.0,22.36,9.805,0.318,19.6,71.4,88.42,259.37,37.38,1.029,0
27.3625,88.6335,"Gangtok, Sikkim",59.0,22.64,9.823,0.005,17.8,79.5,240.09,750.0,28.27,1.365,0
27.2979,88.5712,"Gangtok, Sikkim",59.0,16.6,9.843,0.037,15.7,78.9,91.99,252.71,30.92,1.435,0
27.3552,88.6105,"Gangtok, Sikkim",44.32,7.63,9.866,0.126,15.9,56.9,23.01,97.72,37.33,1.458,0
27.3663,88.5658,"Gangtok, Sikkim",59.0,20.62,10.283,4.854,18.4,74.9,43.28,140.91,39.6,1.02,1
27.3455,88.6051,"Gangtok, Sikkim",36.34,0.41,9.835,0.038,17.9,52.3,3.72,9.01,37.22,1.672,0
27.3744,88.5752,"Gangtok, Sikkim",59.0,18.71,11.583,4.463,14.6,80.2,177.25,412.44,36.01,1.177,1
27.3238,88.5715,"Gangtok, Sikkim",43.58,7.9,9.804,0.06,20.0,61.6,6.02,22.4,35.24,1.523,0
27.3341,88.6446,"Gangtok, Sikkim",48.01,10.72,9.846,0.007,22.6,61.9,13.56,56.37,30.29,1.653,0
27.3559,88.6309,"Gangtok, Sikkim",43.72,7.95,9.827,0.02,17.1,64.5,7.75,40.68,33.48,1.592,0
27.2982,88.6017,"Gangtok, Sikkim",59.0,21.24,9.828,0.021,20.2,78.6,60.95,131.89,34.57,1.15,0
27.3728,88.6402,"Gangtok, Sikkim",59.0,16.33,10.296,3.768,17.4,74.0,272.15,750.0,40.94,1.108,1
27.3877,88.6091,"Gangtok, Sikkim",55.29,14.04,9.768,0.019,27.2,75.9,36.56,118.39,37.94,1.254,0
27.2891,88.6464,"Gangtok, Sikkim",43.96,7.62,9.82,0.017,18.0,71.7,21.62,76.61,29.1,1.819,0
27.3845,88.6493,"Gangtok, Sikkim",59.0,20.32,11.112,3.903,20.7,62.7,154.45,604.6,37.86,1.075,1
27.3661,88.5777,"Gangtok, Sikkim",59.0,17.08,10.761,2.688,22.4,82.4,173.81,609.1,34.88,1.263,1
27.3028,88.6266,"Gangtok, Sikkim",45.57,8.78,9.807,0.04,15.6,72.3,7.38,33.8,33.66,1.559,0
27.3029,88.6518,"Gangtok, Sikkim",37.84,2.0,9.784,0.011,20.7,59.9,3.48,27.15,39.07,1.566,0
27.3335,88.5596,"Gangtok, Sikkim",44.28,8.01,9.784,0.093,21.3,60.8,5.55,21.23,40.83,1.346,0
27.304,88.5855,"Gangtok, Sikkim",31.07,0.0,9.796,0.118,19.6,42.1,0.25,16.97,40.41,1.584,0
27.3593,88.6302,"Gangtok, Sikkim",40.9,4.0,9.77,0.017,20.9,60.0,8.91,22.73,32.98,1.734,0
27.3102,88.6214,"Gangtok, Sikkim",41.08,5.38,9.792,0.008,15.5,57.5,8.44,34.04,35.2,1.6,0
27.2921,88.5668,"Gangtok, Sikkim",42.78,6.9,9.831,0.077,26.2,53.0,8.94,44.24,37.89,1.461,0
27.3424,88.6269,"Gangtok, Sikkim",59.0,18.53,9.854,0.155,10.0,71.2,43.81,180.49,40.6,1.054,0
27.3803,88.6003,"Gangtok, Sikkim",59.0,22.36,9.872,0.002,14.8,74.9,101.53,341.07,34.49,1.118,0
27.3009,88.6494,"Gangtok, Sikkim",26.71,0.0,9.798,0.001,12.9,49.3,2.12,11.31,35.72,1.739,0
27.3326,88.6062,"Gangtok, Sikkim",49.16,10.15,9.846,0.012,24.5,60.6,5.52,54.91,31.85,1.596,0
27.3743,88.6151,"Gangtok, Sikkim",29.27,0.0,9.82,0.069,17.5,40.0,6.62,41.01,31.48,1.932,0
27.319,88.6106,"Gangtok, Sikkim",36.57,0.59,9.803,0.201,14.4,54.6,5.37,33.75,39.91,1.581,0
27.3514,88.6455,"Gangtok, Sikkim",41.82,5.9,9.822,0.083,15.7,55.0,19.22,53.95,42.2,1.373,0
27.3124,88.6124,"Gangtok, Sikkim",38.9,2.78,9.843,0.051,12.2,55.5,8.91,65.53,36.2,1.639,0
27.3809,88.561,"Gangtok, Sikkim",48.82,10.16,11.977,1.926,20.4,54.2,10.19,75.73,40.71,1.288,1
